179,RE,Everest Re Group Ltd.
180,ES,Eversource Energy
181,EXC,Exelon Corp.
182,EXPE,Expedia Inc.
183,EXPD,Expeditors International
184,ESRX,Express Scripts
185,EXR,Extra Space Storage
186,XOM,Exxon Mobil Corp.
187,FFIV,F5 Networks
188,FB,"Facebook, Inc."
189,FAST,Fastenal Co
190,FRT,Federal Realty Investment Trust
191,FDX,FedEx Corporation
192,FIS,Fidelity National Information Services
193,FITB,Fifth Third Bancorp
194,FE,FirstEnergy Corp
195,FISV,Fiserv Inc
196,FLIR,FLIR Systems
197,FLS,Flowserve Corporation
198,FLR,Fluor Corp.
199,FMC,FMC Corporation
200,FL,Foot Locker Inc
201,F,Ford Motor
202,FTV,Fortive Corp
203,FBHS,Fortune Brands Home & Security
204,BEN,Franklin Resources
205,FCX,Freeport-McMoRan Inc.
206,GPS,Gap Inc.
207,GRMN,Garmin Ltd.
208,IT,Gartner Inc
209,GD,General Dynamics
210,GE,General Electric
211,GGP,General Growth Properties Inc.
212,GIS,General Mills
213,GM,General Motors
214,GPC,Genuine Parts
215,GILD,Gilead Sciences
216,GPN,Global Payments Inc.
217,GS,Goldman Sachs Group
218,GT,Goodyear Tire & Rubber
219,GWW,Grainger (W.W.) Inc.
220,HAL,Halliburton Co.
221,HBI,Hanesbrands Inc
222,HOG,Harley-Davidson
223,HRS,Harris Corporation
224,HIG,Hartford Financial Svc.Gp.
225,HAS,Hasbro Inc.
226,HCA,HCA Holdings
227,HCP,HCP Inc.
228,HP,Helmerich & Payne
229,HSIC,Henry Schein
230,HES,Hess Corporation
231,HPE,Hewlett Packard Enterprise
232,HLT,Hilton Worldwide Holdings Inc
233,HOLX,Hologic
234,HD,Home Depot
235,HON,Honeywell Int'l Inc.
236,HRL,Hormel Foods Corp.
237,HST,Host Hotels & Resorts
238,HPQ,HP Inc.
239,HUM,Humana Inc.
240,HBAN,Huntington Bancshares
241,HII,Huntington Ingalls Industries
242,IDXX,IDEXX Laboratories
243,INFO,IHS Markit Ltd.
244,ITW,Illinois Tool Works
245,ILMN,Illumina Inc
246,INCY,Incyte
247,IR,Ingersoll-Rand PLC
248,INTC,Intel Corp.
249,ICE,Intercontinental Exchange
250,IBM,International Business Machines
251,IP,International Paper
252,IPG,Interpublic Group
253,IFF,Intl Flavors & Fragrances
254,INTU,Intuit Inc.
255,ISRG,Intuitive Surgical Inc.
256,IVZ,Invesco Ltd.
257,IPGP,IPG Photonics Corp.
258,IQV,IQVIA Holdings Inc.
259,IRM,Iron Mountain Incorporated
260,JBHT,J. B. Hunt Transport Services
261,JEC,Jacobs Engineering Group
262,SJM,JM Smucker
263,JNJ,Johnson & Johnson
264,JCI,Johnson Controls International
265,JPM,JPMorgan Chase & Co.
266,JNPR,Juniper Networks
267,KSU,Kansas City Southern
268,K,Kellogg Co.
269,KEY,KeyCorp
270,KMB,Kimberly-Clark
271,KIM,Kimco Realty
272,KMI,Kinder Morgan
273,KLAC,KLA-Tencor Corp.
274,KSS,Kohl's Corp.
275,KHC,Kraft Heinz Co
276,KR,Kroger Co.
277,LB,L Brands Inc.
278,LLL,L-3 Communications Holdings
279,LH,Laboratory Corp. of America Holding
280,LRCX,Lam Research
281,LEG,Leggett & Platt
282,LEN,Lennar Corp.
283,LUK,Leucadia National Corp.
284,LLY,Lilly (Eli) & Co.
285,LNC,Lincoln National
286,LKQ,LKQ Corporation
287,LMT,Lockheed Martin Corp.
288,L,Loews Corp.
289,LOW,Lowe's Cos.
290,LYB,LyondellBasell
